iso_code,continent,location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,population
OWID_UMC,,Upper middle income,07/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,06/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,05/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,04/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,11/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,03/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,21/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,23/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,08/06/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,07/06/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,06/06/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,05/06/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,04/06/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,03/06/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,02/06/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,22/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,01/06/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,30/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,29/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,28/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,27/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,26/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,25/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,24/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,31/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,02/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,01/05/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,30/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,08/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,07/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,06/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,05/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,04/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,03/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,02/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,09/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,01/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,30/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,29/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,28/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,27/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,26/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,25/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,24/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,31/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,10/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,11/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,12/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,29/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,28/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,27/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,26/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,25/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,24/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,23/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,22/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,21/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,20/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,19/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,18/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,17/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,16/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,15/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,14/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,13/04/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,10/06/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,18/11/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,03/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,20/11/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,26/06/2021,1505578738.0,855154453.0,110888077.0,25269553.0,27102320.0,59.61,33.86,4.39,10730.0,9515609.0,0.377,2525921300
OWID_UMC,,Upper middle income,25/06/2021,1480545462.0,852544290.0,109872050.0,28892614.0,26952997.0,58.61,33.75,4.35,10671.0,9495640.0,0.376,2525921300
OWID_UMC,,Upper middle income,24/06/2021,1451566464.0,848242009.0,108409632.0,30831137.0,27072450.0,57.47,33.58,4.29,10718.0,9548990.0,0.378,2525921300
OWID_UMC,,Upper middle income,23/06/2021,1420391487.0,843806847.0,106287794.0,29329397.0,26810254.0,56.23,33.41,4.21,10614.0,9797203.0,0.388,2525921300
OWID_UMC,,Upper middle income,22/06/2021,1391345455.0,840049690.0,104867877.0,27538672.0,26446825.0,55.08,33.26,4.15,10470.0,9826724.0,0.389,2525921300
OWID_UMC,,Upper middle income,21/06/2021,1363977381.0,836183296.0,103288534.0,25650579.0,26131124.0,54.0,33.1,4.09,10345.0,9837504.0,0.389,2525921300
OWID_UMC,,Upper middle income,20/06/2021,1338399982.0,832358116.0,101919132.0,22204307.0,24676371.0,52.99,32.95,4.03,9769.0,9711785.0,0.384,2525921300
OWID_UMC,,Upper middle income,27/06/2021,1528726246.0,856922018.0,111747256.0,23387681.0,27271376.0,60.52,33.93,4.42,10797.0,9411782.0,0.373,2525921300
OWID_UMC,,Upper middle income,19/06/2021,1316008688.0,829580400.0,100944776.0,24224276.0,23876077.0,52.1,32.84,4.0,9452.0,9585755.0,0.379,2525921300
OWID_UMC,,Upper middle income,17/06/2021,1261942485.0,822105900.0,98057677.0,28995745.0,22070634.0,49.96,32.55,3.88,8738.0,9360727.0,0.371,2525921300
OWID_UMC,,Upper middle income,16/06/2021,1232473497.0,816042927.0,96157533.0,26785422.0,21462387.0,48.79,32.31,3.81,8497.0,8957144.0,0.355,2525921300
OWID_UMC,,Upper middle income,15/06/2021,1206193609.0,812155842.0,95133451.0,25328747.0,20636429.0,47.75,32.15,3.77,8170.0,8907080.0,0.353,2525921300
OWID_UMC,,Upper middle income,14/06/2021,1181371561.0,808373661.0,93989567.0,15467308.0,19819073.0,46.77,32.0,3.72,7846.0,8834084.0,0.35,2525921300
OWID_UMC,,Upper middle income,13/06/2021,1165774739.0,805304770.0,92927996.0,16602244.0,20419432.0,46.15,31.88,3.68,8084.0,8771247.0,0.347,2525921300
OWID_UMC,,Upper middle income,12/06/2021,1149210683.0,803558466.0,92355678.0,18451786.0,20400720.0,45.5,31.81,3.66,8077.0,8695184.0,0.344,2525921300
OWID_UMC,,Upper middle income,11/06/2021,1130945562.0,801359537.0,91345113.0,22863140.0,20852440.0,44.77,31.73,3.62,8255.0,8677378.0,0.344,2525921300
OWID_UMC,,Upper middle income,18/06/2021,1291684772.0,826893409.0,99468700.0,29728781.0,23051436.0,51.14,32.74,3.94,9126.0,9540438.0,0.378,2525921300
OWID_UMC,,Upper middle income,10/06/2021,1107552581.0,797644124.0,89882701.0,24738062.0,21188776.0,43.85,31.58,3.56,8389.0,2778477.0,0.11,2525921300
OWID_UMC,,Upper middle income,28/06/2021,1554674255.0,860626981.0,113154090.0,26048339.0,27328201.0,61.55,34.07,4.48,10819.0,9398929.0,0.372,2525921300
OWID_UMC,,Upper middle income,30/06/2021,1604966600.0,869416788.0,116804252.0,25539702.0,26435622.0,63.54,34.42,4.62,10466.0,9559939.0,0.378,2525921300
OWID_UMC,,Upper middle income,16/07/2021,1892417785.0,933432080.0,148239888.0,18339866.0,16502106.0,74.92,36.95,5.87,6533.0,10034864.0,0.397,2525921300
OWID_UMC,,Upper middle income,15/07/2021,1874689616.0,929047954.0,146086393.0,19103321.0,16397615.0,74.22,36.78,5.78,6492.0,9985358.0,0.395,2525921300
OWID_UMC,,Upper middle income,14/07/2021,1855540622.0,924122029.0,143115764.0,20091944.0,16282265.0,73.46,36.59,5.67,6446.0,9871878.0,0.391,2525921300
OWID_UMC,,Upper middle income,13/07/2021,1835463144.0,919188773.0,140229362.0,17571719.0,15951624.0,72.67,36.39,5.55,6315.0,9811555.0,0.388,2525921300
OWID_UMC,,Upper middle income,12/07/2021,1818302223.0,914678788.0,138156541.0,14668385.0,16386977.0,71.99,36.21,5.47,6488.0,9853104.0,0.39,2525921300
